x,y,z,label
-6,245,34,1
-3,243,37,1
6,242,39,1
12,245,43,1
7,249,40,1
-2,250,39,1
-9,245,40,1
-10,239,40,1
-2,235,38,1
3,240,41,1
6,247,43,1
7,254,42,1
4,257,39,1
-1,256,40,1
-5,252,40,1
-3,247,40,1
0,241,37,1
3,239,39,1
2,241,39,1
1,246,39,1
1,248,41,1
1,251,42,1
1,248,40,1
0,244,38,1
-4,240,39,1
-4,237,42,1
-1,240,42,1
5,246,44,1
11,254,39,1
9,257,38,1
3,255,36,1
-3,250,37,1
-7,246,39,1
-7,243,42,1
-1,243,44,1
2,244,45,1
4,242,44,1
4,241,38,1
4,245,36,1
1,246,35,1
0,248,37,1
0,248,41,1
0,248,46,1
-2,247,44,1
-1,245,43,1
0,245,41,1
3,244,41,1
3,245,39,1
2,246,41,1
0,248,39,1
-2,254,35,1
0,256,34,1
2,257,35,1
2,253,40,1
0,243,44,1
-4,234,46,1
-1,228,46,1
1,233,41,1
4,240,40,1
6,247,39,1
2,252,42,1
-1,253,43,1
-4,250,44,1
-2,247,42,1
0,247,41,1
2,250,40,1
3,252,40,1
3,255,39,1
2,256,32,1
5,254,26,1
5,246,29,1
1,237,37,1
-5,233,42,1
-6,228,48,1
-1,227,47,1
7,232,43,1
12,245,39,1
10,255,35,1
1,265,35,1
-9,269,35,1
-14,265,33,1
-13,254,36,1
-3,243,38,1
-2,243,44,1
10,228,42,1
15,224,49,1
9,228,54,1
1,237,55,1
-10,254,44,1
-22,271,30,1
-18,276,20,1
-3,268,23,1
12,255,33,1
22,240,32,1
16,223,33,1
4,210,50,1
-9,204,61,1
-18,214,57,1
-10,243,41,1
3,280,16,1
11,301,11,1
11,291,28,1
8,273,38,1
5,257,44,1
0,240,38,1
-6,220,44,1
-2,196,64,1
14,196,65,1
17,212,57,1
7,232,48,1
2,263,39,1
2,291,42,1
-6,293,54,1
-21,283,65,1
-21,267,62,1
-18,239,57,1
-14,220,52,1
0,211,47,1
13,217,46,1
16,237,48,1
12,255,50,1
2,255,46,1
-8,243,48,1
-13,235,54,1
-15,239,61,1
-11,250,67,1
2,255,54,1
11,258,29,1
13,256,8,1
8,255,10,1
-3,254,28,1
-16,256,42,1
-17,248,53,1
-2,230,63,1
7,219,112,1
-1,181,171,1
10,211,-8,1
17,266,-48,1
15,273,-20,1
12,266,-3,1
7,258,-10,1
11,247,0,1
12,245,17,1
7,247,49,1
2,258,44,1
-7,272,27,1
-11,261,24,1
-8,233,27,1
-1,207,25,1
4,198,27,1
12,207,31,1
13,233,40,1
0,265,43,1
-19,287,46,1
-17,288,42,1
2,281,38,1
11,259,35,1
9,230,32,1
0,210,33,1
-21,213,42,1
-34,226,53,1
-21,245,47,1
-1,258,35,1
12,265,31,1
15,265,38,1
14,253,49,1
7,237,50,1
-5,223,57,1
-13,219,58,1
-16,232,47,1
-21,253,33,1
-21,272,21,1
-4,278,27,1
13,270,40,1
19,254,52,1
16,233,59,1
13,214,57,1
11,203,54,1
1,212,43,1
-12,235,35,1
-19,256,38,1
-15,268,48,1
-3,272,57,1
7,273,57,1
14,265,60,1
17,248,57,1
16,224,43,1
9,210,35,1
3,212,39,1
0,237,54,1
0,257,58,1
-5,260,63,1
-9,255,75,1
-5,258,68,1
0,267,40,1
10,261,13,1
13,243,15,1
20,249,46,1
16,237,69,1
7,209,76,1
-3,197,71,1
-15,213,54,1
-17,241,31,1
-2,265,13,1
31,277,19,1
34,284,42,1
9,283,55,1
0,272,55,1
-2,257,53,1
1,233,58,1
4,209,49,1
6,205,43,1
3,212,39,1
0,227,40,1
-5,245,44,1
0,255,48,1
9,259,49,1
5,266,50,1
-5,266,49,1
-12,261,43,1
-6,250,34,1
1,240,32,1
7,241,42,1
8,240,44,1
4,243,48,1
1,234,51,1
-4,226,53,1
-5,227,47,1
-3,236,36,1
5,246,31,1
11,260,31,1
10,275,36,1
2,280,37,1
-7,269,41,1
-7,255,50,1
-11,237,56,1
-5,214,54,1
2,205,50,1
7,214,39,1
8,236,28,1
3,257,23,1
-1,268,33,1
2,273,39,1
6,265,48,1
1,258,53,1
-6,243,60,1
-10,234,61,1
-12,230,59,1
-11,228,51,1
3,229,34,1
11,238,24,1
13,247,27,1
15,256,40,1
7,262,52,1
-7,264,64,1
-17,256,72,1
-16,240,70,1
-13,227,53,1
-2,232,36,1
2,237,23,1
3,240,27,1
6,244,42,1
1,254,50,1
-6,262,52,1
-12,262,50,1
-13,253,50,1
-6,234,50,1
6,220,54,1
10,221,51,1
3,234,36,1
-12,248,30,1
-21,255,38,1
-16,256,46,1
-4,253,52,1
4,249,57,1
9,254,61,1
10,264,42,1
14,274,19,1
-6,249,23,1
-4,221,34,1
-1,207,34,1
-2,211,34,1
0,223,46,1
0,244,48,1
3,263,51,1
2,275,58,1
1,271,62,1
3,261,62,1
1,254,59,1
-1,245,54,1
-7,237,46,1
-7,226,43,1
-1,224,46,1
6,225,52,1
13,233,54,1
10,245,48,1
-1,255,45,1
-13,261,44,1
-15,264,47,1
-7,266,49,1
2,263,45,1
11,256,39,1
20,243,38,1
14,230,43,1
-2,214,47,1
-19,207,46,1
-19,215,43,1
-5,232,45,1
18,258,42,1
41,283,43,1
29,275,53,1
9,254,61,1
-1,239,64,1
-8,236,59,1
-11,233,49,1
-1,233,41,1
23,246,35,1
31,263,41,1
8,272,52,1
-11,267,61,1
-9,248,63,1
-1,224,58,1
0,211,48,1
0,208,36,1
-10,222,31,1
-16,248,32,1
-1,266,42,1
26,272,64,1
32,264,79,1
16,252,77,1
6,243,56,1
-10,242,34,1
-33,241,22,1
-36,242,25,1
-6,246,36,1
21,245,51,1
30,241,54,1
30,238,53,1
30,233,61,1
20,232,57,1
-5,238,38,1
-32,244,22,1
-40,256,24,1
-16,265,41,1
18,266,53,1
32,255,56,1
31,237,48,1
21,230,40,1
6,235,45,1
0,242,49,1
-9,235,45,1
-7,231,42,1
2,244,47,1
7,253,55,1
3,260,58,1
-3,259,48,1
-6,256,45,1
1,253,43,1
10,242,46,1
7,237,52,1
0,237,56,1
-12,240,53,1
-13,237,44,1
-6,236,39,1
7,241,40,1
18,251,47,1
13,257,50,1
3,258,47,1
-10,258,46,1
-16,254,43,1
-6,240,40,1
-2,234,38,1
4,224,41,1
5,224,46,1
4,236,55,1
5,254,53,1
4,267,41,1
0,267,32,1
-4,259,34,1
-7,249,41,1
-10,233,52,1
-3,221,58,1
5,218,61,1
16,231,53,1
23,248,36,1
12,260,28,1
-9,262,35,1
-25,261,46,1
-20,258,49,1
-3,256,51,1
15,251,55,1
20,240,56,1
10,227,53,1
-3,225,49,1
-11,230,42,1
-11,238,37,1
-4,246,37,1
2,253,41,1
11,257,47,1
6,257,45,1
1,254,44,1
-1,250,46,1
0,245,48,1
1,238,53,1
-3,238,56,1
-5,241,47,1
-4,247,39,1
1,251,35,1
9,252,37,1
13,250,40,1
5,249,39,1
-3,246,41,1
-13,237,42,1
-10,239,49,1
-2,239,53,1
3,241,52,1
4,243,45,1
1,250,38,1
0,256,32,1
1,259,38,1
7,254,46,1
7,243,50,1
3,234,45,1
-1,231,39,1
-8,231,38,1
-7,240,39,1
1,251,43,1
10,262,46,1
11,266,50,1
8,261,49,1
1,253,48,1
-1,244,43,1
0,235,34,1
2,228,28,1
2,228,33,1
0,234,42,1
-2,242,47,1
-1,251,49,1
-2,255,52,1
1,254,50,1
11,252,45,1
20,251,39,1
11,253,39,1
-4,251,39,1
-17,249,39,1
-17,249,42,1
-5,243,44,1
1,235,48,1
5,237,56,1
8,239,62,1
4,244,63,1
6,242,59,1
14,228,60,1
12,238,45,1
-1,257,27,1
11,245,34,1
-20,269,31,1
-51,263,42,1
-22,239,55,1
0,224,62,1
20,216,58,1
23,226,42,1
9,234,22,1
-9,252,24,1
-20,260,4,1
-8,269,52,1
-3,261,73,1
-9,251,64,1
-15,237,58,1
-16,217,56,1
-9,211,54,1
0,220,50,1
7,245,45,1
11,266,43,1
8,277,47,1
1,267,60,1
-6,254,65,1
-9,242,69,1
-5,232,66,1
2,225,60,1
11,226,50,1
13,232,40,1
6,246,38,1
-5,254,40,1
-13,258,40,1
-14,257,49,1
-3,255,59,1
11,246,66,1
21,242,62,1
18,238,47,1
6,238,38,1
-9,241,43,1
-23,244,44,1
-28,247,43,1
-13,246,41,1
6,242,44,1
19,243,48,1
20,245,52,1
9,251,50,1
-12,255,49,1
-25,254,52,1
-23,246,53,1
-9,240,49,1
3,237,47,1
9,239,43,1
9,242,41,1
5,245,37,1
2,250,42,1
-2,248,49,1
-1,251,57,1
-13,249,58,1
-14,249,54,1
-3,247,45,1
3,247,37,1
6,243,38,1
7,240,50,1
3,237,54,1
-7,234,53,1
-9,236,49,1
-2,245,42,1
5,256,39,1
11,262,42,1
8,265,47,1
0,258,46,1
-11,244,46,1
-15,231,44,1
-8,226,44,1
6,229,45,1
19,241,51,1
15,252,54,1
2,255,53,1
-10,253,49,1
-12,248,46,1
-6,245,47,1
2,248,46,1
11,250,42,1
11,251,35,1
7,250,36,1
-1,243,44,1
-8,238,54,1
-12,233,54,1
-7,237,47,1
0,248,40,1
9,257,35,1
14,258,34,1
8,251,33,1
9,239,40,1
-7,231,43,1
-13,229,52,1
-8,234,59,1
2,245,57,1
10,256,45,1
15,264,35,1
11,268,32,1
-3,258,32,1
-6,248,38,1
-9,232,42,1
1,225,44,1
21,213,47,1
31,219,51,1
27,250,45,1
24,267,27,1
5,272,66,1
-25,250,20,1
-27,244,30,1
-9,234,40,1
17,246,37,1
40,244,52,1
36,234,57,1
29,238,71,1
46,230,58,1
50,231,46,1
26,253,40,1
26,258,38,1
24,253,42,1
-1,239,56,1
-23,228,62,1
-21,232,63,1
8,247,63,1
22,258,61,1
7,242,43,1
0,240,42,1
-22,245,36,1
-27,254,42,1
-7,261,55,1
9,261,50,1
22,254,47,1
9,237,43,1
2,226,39,1
0,227,34,1
1,237,36,1
3,247,49,1
1,252,62,1
1,253,65,1
-1,253,55,1
-1,251,45,1
1,246,41,1
5,248,38,1
1,249,41,1
-13,250,47,1
-11,252,42,1
-1,243,42,1
16,234,48,1
21,226,46,1
5,229,35,1
-22,244,34,1
-35,256,33,1
-28,257,36,1
-4,255,44,1
17,255,50,1
32,256,54,1
27,248,44,1
8,235,32,1
-20,230,36,1
-28,231,33,1
-14,239,29,1
0,251,35,1
10,258,41,1
11,259,45,1
3,251,52,1
-5,242,55,1
-13,237,44,1
-12,235,34,1
-7,236,29,1
1,236,29,1
5,240,34,1
3,251,43,1
2,261,51,1
-1,264,50,1
-10,260,44,1
-12,253,36,1
-8,243,30,1
-1,235,27,1
6,227,29,1
10,232,45,1
8,242,59,1
2,248,58,1
-7,247,51,1
-17,248,45,1
-20,253,43,1
-9,256,40,1
6,253,36,1
13,248,39,1
12,248,45,1
2,248,50,1
-12,240,46,1
-20,233,39,1
-13,230,34,1
1,234,34,1
13,246,45,1
14,257,54,1
9,257,55,1
1,258,51,1
-8,255,44,1
-6,247,35,1
-3,239,39,1
-5,231,40,1
-4,231,41,1
1,236,42,1
8,245,46,1
8,253,47,1
2,254,49,1
0,250,46,1
-3,247,41,1
-4,249,36,1
-4,251,33,1
-5,249,31,1
-3,246,38,1
0,243,46,1
3,241,50,1
1,239,51,1
0,236,47,1
0,237,43,1
0,240,41,1
4,245,41,1
4,255,39,1
0,269,39,1
-7,272,38,1
-15,261,38,1
-14,242,43,1
-6,221,47,1
1,212,46,1
13,221,42,1
19,240,37,1
12,252,41,1
-9,251,51,1
-23,261,45,1
-24,260,43,1
-15,257,45,1
5,244,44,1
7,237,41,1
2,237,44,1
-5,235,47,1
-9,241,54,1
-3,243,49,1
-5,245,40,1
-6,251,40,1
-4,250,44,1
-10,244,49,1
-10,242,51,1
3,251,44,1
25,254,44,1
31,254,44,1
17,256,48,1
-1,251,43,1
-21,237,34,1
-31,225,36,1
-25,218,43,1
2,221,52,1
38,242,57,1
55,260,56,1
32,264,61,1
-10,267,66,1
-39,267,62,1
-45,258,48,1
-37,244,36,1
-15,227,30,1
16,216,32,1
35,212,38,1
25,226,53,1
-2,239,58,1
-26,250,57,1
-32,260,42,1
-18,265,33,1
2,261,41,1
13,257,51,1
9,246,54,1
4,239,47,1
-1,239,34,1
-5,234,26,1
-6,231,30,1
-1,238,45,1
7,247,58,1
30,252,59,1
9,257,51,1
7,258,41,1
8,253,36,1
-1,245,40,1
-9,243,40,1
-8,248,42,1
-12,243,44,1
-8,233,45,1
-1,230,46,1
10,233,50,1
34,266,63,1
15,255,25,1
-6,251,0,1
-27,251,14,1
-22,254,44,1
-4,256,60,1
10,256,63,1
10,248,60,1
3,240,60,1
-1,233,52,1
