x,y,z,label
0,246,44,1
-2,247,46,1
-1,247,46,1
-1,247,46,1
-2,248,45,1
-1,248,44,1
-1,244,43,1
0,244,44,1
-1,245,44,1
0,245,45,1
0,245,45,1
0,245,45,1
-1,247,43,1
-2,248,41,1
-2,247,45,1
0,247,47,1
-1,249,46,1
-2,248,46,1
-1,247,46,1
-1,246,45,1
2,246,43,1
-1,246,44,1
0,243,42,1
1,244,43,1
-1,244,42,1
-3,247,43,1
-3,247,44,1
-2,248,45,1
-4,249,46,1
-3,248,44,1
-2,247,45,1
-1,246,45,1
0,247,44,1
0,244,44,1
-1,244,42,1
-1,243,42,1
-1,243,45,1
-1,244,42,1
-1,245,45,1
-3,247,45,1
-3,249,46,1
-5,251,48,1
-3,252,47,1
-2,250,46,1
-2,249,45,1
-1,248,44,1
0,242,43,1
2,239,40,1
2,238,40,1
0,239,41,1
-1,241,46,1
-3,245,48,1
-5,249,47,1
-5,252,50,1
-4,254,47,1
-3,252,47,1
-1,250,45,1
0,246,45,1
1,245,42,1
0,242,41,1
0,242,42,1
-4,243,45,1
-2,244,44,1
-3,244,47,1
-2,245,46,1
-1,245,44,1
0,244,45,1
-1,244,44,1
-1,246,45,1
-3,249,45,1
-2,251,46,1
-4,251,47,1
-4,252,45,1
-2,249,46,1
-1,247,45,1
0,243,43,1
1,241,42,1
1,238,40,1
1,237,41,1
0,238,41,1
-1,240,43,1
-1,244,44,1
-3,250,46,1
-6,255,50,1
-11,259,55,1
-12,262,57,1
-8,260,56,1
-3,255,55,1
1,246,53,1
6,235,47,1
10,226,37,1
12,217,26,1
3,218,25,1
-8,230,39,1
-21,255,63,1
-23,270,75,1
-16,270,70,1
-7,261,65,1
0,251,61,1
4,242,53,1
9,235,38,1
6,228,27,1
-5,231,36,1
-18,246,54,1
-17,256,62,1
-6,259,61,1
5,254,61,1
10,247,61,1
10,239,54,1
4,232,38,1
-1,227,25,1
-9,231,31,1
-12,244,47,1
-8,256,62,1
-4,260,64,1
-1,261,59,1
-2,257,57,1
-2,250,50,1
0,242,45,1
4,233,39,1
6,232,35,1
2,233,34,1
-3,237,42,1
-7,246,53,1
-9,254,60,1
-7,256,58,1
-5,252,52,1
0,247,47,1
5,246,47,1
4,246,47,1
-1,247,46,1
-8,244,46,1
-9,239,44,1
-4,236,43,1
0,238,42,1
1,245,42,1
