x,y,z,label
0,251,49,1
0,253,49,1
-1,251,47,1
-3,251,44,1
-2,247,44,1
-2,244,43,1
-1,240,41,1
-1,239,39,1
-1,239,38,1
-1,240,41,1
-1,243,45,1
-1,247,45,1
0,249,46,1
-2,248,44,1
-1,246,45,1
0,245,43,1
-1,245,41,1
-1,244,41,1
-3,245,42,1
-3,244,41,1
-3,242,41,1
-1,241,40,1
-1,242,41,1
0,245,42,1
-1,249,47,1
0,253,49,1
0,254,50,1
-2,251,47,1
-2,245,45,1
-4,240,43,1
-3,234,40,1
-2,229,34,1
-1,230,34,1
0,237,41,1
0,247,48,1
-1,255,55,1
-1,257,54,1
-3,255,53,1
-2,251,47,1
-2,249,46,1
-2,246,43,1
-2,242,40,1
-2,237,37,1
-1,234,39,1
-1,236,43,1
-1,239,44,1
-1,245,46,1
0,248,47,1
-1,251,45,1
-1,248,45,1
-2,246,41,1
-3,243,40,1
-2,241,38,1
-2,241,40,1
-1,243,44,1
-1,248,47,1
-1,251,49,1
0,252,51,1
0,251,48,1
0,249,49,1
0,244,47,1
2,245,48,1
-2,238,40,1
-4,234,36,1
-4,234,35,1
-3,239,42,1
-2,248,50,1
0,253,54,1
1,255,54,1
1,253,51,1
-1,250,48,1
-4,246,50,1
-6,244,46,1
-4,240,43,1
-4,237,38,1
-1,233,36,1
0,235,39,1
0,242,46,1
0,249,49,1
-1,252,48,1
-2,251,47,1
-3,250,46,1
-3,248,45,1
-2,247,45,1
-2,246,45,1
-1,245,45,1
1,240,44,1
0,238,38,1
0,236,35,1
-3,238,38,1
-6,243,42,1
-6,247,49,1
-6,250,51,1
-1,252,49,1
0,252,49,1
2,251,48,1
2,248,48,1
-1,245,48,1
-5,239,45,1
-7,233,37,1
-5,229,30,1
-1,234,35,1
0,244,46,1
0,252,54,1
-1,255,54,1
-2,253,51,1
-3,250,49,1
-2,250,43,1
-3,249,42,1
-2,246,44,1
-1,242,44,1
0,235,42,1
0,233,40,1
-1,236,40,1
