x,y,z,label
3,239,34,1
9,247,30,1
8,252,31,1
0,255,37,1
-12,252,39,1
-15,248,40,1
-9,244,41,1
1,241,40,1
6,242,38,1
5,246,35,1
1,247,32,1
-3,249,33,1
-5,250,36,1
-3,253,38,1
-2,254,39,1
-2,251,39,1
-1,244,37,1
-1,241,37,1
0,240,38,1
0,242,38,1
0,246,36,1
0,250,36,1
0,252,35,1
-1,252,37,1
-2,251,36,1
-2,248,37,1
-1,245,38,1
-1,243,39,1
1,243,37,1
1,245,36,1
0,246,34,1
-1,249,35,1
0,251,35,1
0,249,35,1
0,249,39,1
0,246,38,1
0,246,38,1
0,246,36,1
0,247,34,1
0,248,34,1
0,246,36,1
0,245,37,1
-2,246,40,1
0,247,39,1
1,249,37,1
2,249,34,1
1,250,35,1
-2,251,35,1
-5,250,37,1
-3,247,37,1
-1,246,39,1
0,244,38,1
0,244,37,1
0,244,35,1
0,247,36,1
0,248,33,1
-2,250,36,1
-1,249,38,1
-1,247,39,1
0,245,38,1
1,246,35,1
1,250,33,1
1,251,35,1
0,251,35,1
-2,248,38,1
-4,244,40,1
-4,241,41,1
-1,242,37,1
1,246,33,1
3,250,36,1
2,252,35,1
0,251,37,1
-2,249,38,1
-3,248,36,1
-3,247,36,1
0,243,37,1
-7,241,42,1
-1,241,45,1
0,247,45,1
-1,253,38,1
0,254,34,1
0,253,33,1
0,248,35,1
-2,241,36,1
-3,237,38,1
-2,243,41,1
-1,247,40,1
-1,250,40,1
1,249,38,1
2,246,39,1
10,236,44,1
10,254,66,1
-1,246,44,1
51,236,45,1
19,253,47,1
-19,252,42,1
-35,252,43,1
-14,246,42,1
9,245,39,1
13,247,29,1
11,242,22,1
3,236,28,1
1,234,43,1
-5,238,51,1
-16,248,42,1
-17,257,30,1
-4,257,25,1
3,256,31,1
4,250,36,1
1,248,37,1
-4,246,43,1
-2,246,45,1
2,245,42,1
3,246,41,1
3,236,56,1
-10,241,73,1
-5,233,55,1
0,241,28,1
6,248,13,1
3,255,17,1
-1,257,30,1
-1,255,43,1
0,249,46,1
-3,247,38,1
-11,245,37,1
-14,243,33,1
-1,243,33,1
5,247,41,1
8,248,41,1
2,240,42,1
-3,239,40,1
-5,242,36,1
-8,242,49,1
-8,245,56,1
-4,245,58,1
-1,245,46,1
1,248,33,1
1,249,31,1
6,258,35,1
3,253,37,1
2,252,29,1
-2,244,34,1
-4,237,43,1
-3,239,47,1
1,246,43,1
2,249,37,1
-2,250,35,1
-1,250,39,1
-3,250,44,1
0,245,40,1
17,239,16,1
-14,212,69,1
-49,216,121,1
-23,228,164,1
-17,205,194,1
-1,200,194,1
14,203,184,1
22,218,161,1
6,249,104,1
-12,261,43,1
-22,243,-2,1
-13,214,-3,1
3,210,28,1
64,253,352,1
21,242,-4,1
8,263,-2,1
19,277,-17,1
7,258,-8,1
5,255,26,1
-4,242,43,1
-17,244,25,1
-9,247,16,1
-2,246,25,1
190,394,152,1
-56,200,27,1
-88,203,23,1
