x,y,z,label
-1,250,47,1
0,252,46,1
-1,254,45,1
0,252,43,1
0,252,43,1
-1,250,42,1
0,247,43,1
0,243,42,1
0,241,43,1
0,240,44,1
-1,241,43,1
0,242,43,1
0,243,44,1
-1,245,43,1
-1,246,44,1
0,248,44,1
0,248,43,1
0,249,43,1
0,247,44,1
0,246,43,1
-1,245,43,1
-2,244,43,1
-2,244,43,1
-1,244,42,1
0,245,43,1
0,246,44,1
0,247,44,1
1,248,45,1
0,247,44,1
0,248,45,1
-1,249,43,1
-1,250,42,1
0,249,45,1
-1,248,42,1
-1,246,43,1
-1,243,42,1
-1,242,41,1
0,241,43,1
-1,242,42,1
-1,245,44,1
0,246,44,1
0,247,43,1
0,249,45,1
0,250,46,1
-1,250,45,1
-1,249,47,1
-1,246,43,1
-1,244,40,1
-3,241,40,1
-2,239,40,1
-2,239,39,1
0,241,40,1
0,247,46,1
1,250,48,1
1,255,52,1
2,256,52,1
0,258,52,1
1,256,50,1
0,252,46,1
-2,246,43,1
-4,239,41,1
-6,229,36,1
-6,225,31,1
-3,223,33,1
0,232,40,1
2,243,51,1
2,255,57,1
2,259,57,1
1,261,57,1
-1,260,54,1
-1,256,47,1
-6,249,42,1
-9,241,36,1
-11,234,34,1
-7,229,33,1
-1,230,37,1
8,241,51,1
15,256,62,1
13,264,66,1
2,261,59,1
-8,251,49,1
-14,238,41,1
-17,229,35,1
-6,224,30,1
4,226,32,1
18,242,54,1
22,256,70,1
10,263,69,1
0,263,58,1
-4,254,48,1
-9,245,43,1
-11,237,40,1
-3,232,34,1
7,237,41,1
18,248,58,1
14,255,64,1
3,255,57,1
-5,249,48,1
-11,241,46,1
-12,233,40,1
-7,227,34,1
0,227,31,1
11,240,46,1
14,257,64,1
7,265,66,1
0,263,57,1
-6,257,53,1
-9,251,52,1
-9,244,48,1
-3,239,42,1
0,234,38,1
3,231,40,1
6,233,45,1
3,240,48,1
0,247,47,1
-5,255,50,1
-1,257,52,1
1,258,55,1
1,253,51,1
-4,244,48,1
-9,235,38,1
-8,228,34,1
-1,226,29,1
6,233,40,1
11,251,54,1
5,262,62,1
-2,265,63,1
-4,259,60,1
-2,251,52,1
0,241,46,1
-3,235,41,1
-5,234,36,1
-1,232,37,1
6,241,50,1
13,252,61,1
2,252,54,1
-12,247,47,1
-11,247,47,1
0,251,52,1
6,246,56,1
6,236,45,1
5,230,33,1
3,233,32,1
5,250,43,1
5,265,56,1
0,263,62,1
-8,258,63,1
-4,250,62,1
-3,248,55,1
3,247,39,1
8,241,24,1
7,233,24,1
1,228,36,1
-11,225,51,1
-13,230,53,1
-3,243,50,1
41,314,107,1
18,245,0,1
16,236,-16,1
-2,243,-1,1
-14,253,34,1
-64,308,106,1
39,228,30,1
35,224,37,1
9,229,43,1
-14,237,47,1
-15,246,39,1
7,256,39,1
17,255,60,1
15,249,62,1
-2,244,59,1
-14,237,56,1
-18,238,48,1
-4,243,37,1
9,242,33,1
20,252,48,1
12,259,57,1
2,258,55,1
-4,255,49,1
-11,242,48,1
-15,231,48,1
-5,224,45,1
3,228,43,1
9,242,39,1
12,257,38,1
7,259,46,1
3,254,52,1
0,250,54,1
-11,250,50,1
-14,250,43,1
-10,247,41,1
-3,240,46,1
3,231,51,1
14,230,57,1
9,229,54,1
-2,244,44,1
-44,278,38,1
27,252,38,1
-16,274,46,1
0,253,45,1
27,239,47,1
25,252,50,1
34,237,46,1
17,232,37,1
3,238,40,1
-8,227,41,1
2,227,43,1
20,247,46,1
24,267,48,1
18,277,47,1
2,277,63,1
-9,259,71,1
-10,237,63,1
-9,225,54,1
-3,218,39,1
6,223,30,1
5,242,43,1
2,254,62,1
4,254,69,1
-5,254,72,1
-13,242,66,1
-17,237,52,1
-17,240,43,1
-2,241,35,1
20,248,43,1
21,261,53,1
6,267,53,1
-1,258,54,1
-5,242,54,1
-7,226,53,1
